pool,project,symbol,chain,tvlUsd,apy,apyBase,apyReward,apyMean30d,sigma,mu,stablecoin,ilRisk,exposure,outlier,prediction_class,prediction_prob_pct,poolMeta
6b47d784-7591-4842-84a4-a7628b37c374,liminal-basis,XHYPE,Arbitrum,5094843,9.35101,9.35101,,6.06878,0.09962,4.68438,False,no,single,False,Down,82.0,Delta-neutral yield
a4fc0bc3-07f2-4dfe-9b1e-df33490bced1,gmx-v2-perps,ETH-USDC,Arbitrum,4984671,6.88338,6.88338,,6.7052,0.83824,21.90189,False,yes,multi,False,Stable/Up,76.0,
406c2d1b-e2e6-4512-9bae-3ce861ee8052,theo-network-thbill,THBILL,Arbitrum,4739817,3.50851,3.50851,,3.57248,0.02509,3.3329,False,no,single,False,Stable/Up,72.0,
0e289cf3-fee2-43fc-b387-ae7a20cfaf07,compound-v3,WETH,Arbitrum,4704641,0.0,,,0.0,0.0,0.0,False,no,single,False,,,USDC-pool
ac2283f9-01c8-4d7c-8214-7f681d479a56,silo-v2,RSETH,Arbitrum,4453421,0.0,0.0,,0.0,0.0,0.0,False,no,single,False,,,160
c60adee5-39bd-4bda-bf25-6b3c19301ecf,concrete,THUSD-THBILL-ARB,Arbitrum,4274875,0.0,0.0,,0.0,0.0,0.0,False,yes,multi,False,,,thUSD Genesis Vault - thBILL Arbitrum
93979396-e1b4-4119-b99b-433970d0983a,cian-yield-layer,WSTETH,Arbitrum,4086660,4.2,,,2.72328,0.20203,5.22512,False,no,single,False,Stable/Up,64.0,Aavev3
5fabde5e-8ce1-407d-b37d-57bfe853577b,silo-v2,WETH,Arbitrum,3754581,0.0,0.0,,1.45697,0.02732,1.71649,False,no,single,False,,,id 160
6d738e71-f965-42d0-8d80-e3d83b6ee028,silo-v2,RSETH,Arbitrum,3754577,0.0,,,0.0,0.0,0.0,False,no,single,False,,,WETH borrow
76b2b84f-45f1-40e5-9b29-2cb365c4a7f8,uniswap-v4,WBTC-USDC,Arbitrum,3745407,7.50011,7.50011,,15.53762,0.57125,19.55859,False,yes,multi,False,Stable/Up,90.0,0.05%
d9c395b9-00d0-4426-a6b3-572a6dd68e54,compound-v3,USDC,Arbitrum,3732210,2.74188,2.74188,0.0,2.60155,0.15424,5.95611,True,no,single,False,Stable/Up,82.0,
f36b3efe-124c-4261-9b8c-29dd39c2b8e8,uniswap-v4,ETH-USDC,Arbitrum,3468170,9.1613,9.1613,,16.53094,0.44642,19.45832,False,yes,multi,False,Stable/Up,86.0,0.05%
dffb3514-d667-4f2f-8df3-f716ebe09c93,gmx-v2-perps,LINK-USDC,Arbitrum,3464843,12.2668,12.2668,,7.76368,0.584,19.91536,False,yes,multi,False,Stable/Up,85.0,
b318f61c-b1b1-4bed-9fcd-421c50dcd1c3,uniswap-v3,WBTC-ARB,Arbitrum,3348117,13.5275,13.5275,,18.7876,0.17954,0.56898,False,yes,multi,False,Down,85.0,0.3%
aebb9f47-d15b-4671-8fe3-debb6e913ae2,morpho-blue,GTUSDCC,Arbitrum,3290332,3.98894,3.98894,0.0,4.15976,0.06687,4.28303,True,no,single,False,Down,50.0,
4e7fd7a4-4f10-421a-8ba0-0531b105bddb,compound-v3,WETH,Arbitrum,3252236,0.0,,,0.0,0.0,0.0,False,no,single,False,,,USDT-pool
906b233c-8478-4b94-94e5-2d77e6c7c9e5,gmx-v2-perps,SOL-USDC,Arbitrum,3249114,25.56624,25.56624,,14.33291,0.67233,23.33604,False,yes,multi,False,Down,71.0,
43644487-e26c-450c-8bcb-fb10c1e512e0,aave-v3,LINK,Arbitrum,3087195,0.01799,0.01799,,0.01587,0.00546,0.06451,False,no,single,False,Stable/Up,76.0,
73ebf747-86eb-40be-a60a-3796e52361ed,morpho-blue,WBTC,Arbitrum,2748070,0.0,,,0.0,0.0,0.0,False,no,single,False,,,
f3a3ae81-97ec-43d8-bafd-bd24d34f938c,morpho-blue,WBTC,Arbitrum,2618204,0.0,,,0.0,0.0,0.0,False,no,single,False,,,
19d0ddd5-083a-4839-a01a-5fdf066e94a3,fluid-lending,GHO,Arbitrum,2592017,5.78,5.78,,6.65477,0.13909,7.45722,True,no,single,False,Stable/Up,76.0,
ba3fb5f5-684e-4834-afca-d58668395b02,uniswap-v3,USDC-USDT,Arbitrum,2515194,7.4813,7.4813,,4.97016,0.32094,7.04036,True,no,multi,False,Down,63.0,0.01%
304dfb5a-0e54-4ea5-ab1c-1a7dd923d87d,fluid-lending,WBTC,Arbitrum,2504783,0.01,0.01,,0.01528,0.00166,0.00887,False,no,single,False,Stable/Up,70.0,
9cd96de2-8e96-4eed-b300-5c0e52e87fc9,gmx-v2-perps,WBTC.B-USDC,Arbitrum,2419320,24.82771,24.82771,,33.32846,1.05632,17.77582,False,yes,multi,False,Down,70.0,
c13f1940-9965-4eee-b7e8-af785591ceda,morpho-blue,BBQUSDC,Arbitrum,2375844,4.08497,4.08497,0.0,4.43965,0.06502,4.08791,True,no,single,False,Down,52.0,
9a43348e-f310-4adc-8a66-3d8c9b933f75,mim-swap,MIM-USDC,Arbitrum,2359203,0.0,0.0,0.0,10.60035,0.30437,13.63156,True,no,multi,False,,,
0464e11e-9c6d-46ab-b16e-a7dbdc71ec9d,dolomite,WBTC,Arbitrum,2332195,0.68198,0.68198,,0.45865,0.21503,2.4652,False,no,single,False,Stable/Up,51.0,
79f3a3df-1ee9-46e4-9ee1-2d4609bf3349,morpho-blue,SUSDS,Arbitrum,2324642,0.0,,,0.0,0.0,0.0,True,no,single,False,,,
97090e08-3182-463b-9da4-b7d886f0d290,uniswap-v4,RYZE-USDC,Arbitrum,2189747,0.1511,0.1511,,0.2199,0.10323,0.63852,False,yes,multi,False,Stable/Up,63.0,0.30%
a4ead0a9-6a97-4127-84b2-f5972fb96050,gmx-v2-perps,ETH-USDC,Arbitrum,2186920,3.87532,3.87532,,8.00334,0.52625,15.62862,False,yes,multi,False,Stable/Up,89.0,
8099741a-e1d5-49f0-ba9d-bc1ddbe72175,morpho-blue,SYRUPUSDC,Arbitrum,2150833,0.0,,,0.0,0.0,0.0,True,no,single,False,,,
f98849af-1166-420a-9aba-4e952269fb7d,morpho-blue,WEETH,Arbitrum,2113633,0.0,,,0.0,0.0,0.0,False,no,single,False,,,
3f2408d5-951c-4704-9695-313ecbbde8be,mim-swap,MIM-USDT,Arbitrum,2111092,0.0,0.0,0.0,9.02354,0.30786,13.99036,True,no,multi,False,,,
655ca962-e0ac-424c-84f9-2fe4fbb0fef4,dolomite,WETH,Arbitrum,2086694,1.20263,1.20263,,1.06634,0.22612,3.69258,False,no,single,False,Stable/Up,75.0,
6c97c62a-6738-4f0f-a9e1-bfeeb330332f,morpho-blue,WEETH,Arbitrum,2025638,0.0,,,0.0,0.0,0.0,False,no,single,False,,,
8fef41bb-261f-44b5-864a-a756a5d01421,dolomite,GM,Arbitrum,1986455,0.0,0.0,,0.0,0.0,0.0,False,no,single,False,,,
ea8d9aa8-46ae-4447-a192-74515706a575,aave-v3,ARB,Arbitrum,1959162,0.12453,0.12453,,0.10848,0.01427,0.2691,False,no,single,False,Stable/Up,65.0,
d4cdd2fb-54bd-40fe-8093-e691ea0b291a,aave-v3,RETH,Arbitrum,1881014,0.0033,0.0033,,0.0064,0.00859,0.06528,False,no,single,False,Stable/Up,59.0,
95fec1af-354f-4dbc-82fc-8e80b56ccad6,gmx-v2-perps,ETH-USDC,Arbitrum,1871858,10.37411,10.37411,,4.11223,0.11386,4.39685,False,yes,multi,False,Down,91.0,
8064dd23-125c-42eb-a09a-d23a234ad3a4,fluid-lending,WBTC,Arbitrum,1817591,0.01,0.01,,0.01528,0.00036,0.00364,False,no,single,False,Stable/Up,63.0,
5921fee6-b25f-4cd9-9cc4-fb07fe83ea89,uniswap-v3,WETH-GMX,Arbitrum,1800908,0.0,0.0,,0.10777,0.67008,8.43615,False,yes,multi,False,,,1%
24d52f63-cc2a-40a4-914d-6056f5e0f8ee,curve-dex,SUSDAI-USDC,Arbitrum,1800161,4.89,4.89,0.0,4.16729,0.08979,3.98628,True,no,multi,False,Down,73.0,
fe2d7c08-41e2-4998-95f5-e396739bfb7c,uniswap-v4,ETH-WBTC,Arbitrum,1755526,0.0,0.0,,0.0,0.0,0.0,False,yes,multi,False,,,0.05%
73e03744-6abb-4739-b4be-63c93709130b,fluid-lending,WBTC,Arbitrum,1754809,0.01,0.01,,0.01528,0.00166,0.00889,False,no,single,False,Stable/Up,70.0,
997497bc-ba09-4e7a-8515-0f12b9793caa,dolomite,GM,Arbitrum,1737495,0.0,0.0,,0.0,0.0,0.0,False,no,single,False,,,
d0e11625-79b9-40e3-b01f-a473af961995,dolomite,USDC,Arbitrum,1722074,3.61618,3.61618,,4.18372,0.49811,10.05799,True,no,single,False,Stable/Up,76.0,
daf1512e-5d07-4f91-8b46-9967e006f7ac,gains-network,GNS,Arbitrum,1709320,0.0,0.0,,0.0,0.35429,3.21925,False,no,single,False,,,
4ab15a65-3ed0-4577-973b-ef6f1a97ccc2,gmx-v2-perps,WBTC.B-USDC,Arbitrum,1649151,7.82995,7.82995,,2.60097,0.3016,6.58722,False,yes,multi,False,Down,70.0,
3e9da80c-274d-4f55-8421-7439d4ef429d,uniswap-v3,WETH-ARB,Arbitrum,1622163,55.84624,55.84624,,54.94916,1.13568,42.0329,False,yes,multi,True,Down,85.0,0.05%
